PM 01:39:53    9.0791 g 
PM 01:39:54    9.0791 g 
PM 01:39:54    9.0791 g 
PM 01:39:55    9.0791 g 
PM 01:39:55    9.0791 g 
PM 01:39:56    9.0790 g 
PM 01:39:57    9.0786 g 
PM 01:39:57    9.0786 g 
PM 01:39:58    9.0786 g 
PM 01:39:59    9.0786 g 
PM 01:39:59    9.0786 g 
PM 01:40:00    9.0786 g 
PM 01:40:01    9.0786 g 
PM 01:40:01    9.0786 g 
PM 01:40:02    9.0786 g 
PM 01:40:03    9.0786 g 
PM 01:40:03    9.0786 g 
PM 01:40:04    9.0785 g 
PM 01:40:04    9.0785 g 
PM 01:40:05    9.0785 g 
PM 01:40:06    9.0785 g 
PM 01:40:06    9.0783 g 
PM 01:40:07    9.0783 g 
PM 01:40:08    9.0783 g 
PM 01:40:08    9.0783 g 
PM 01:40:09    9.0783 g 
PM 01:40:10    9.0783 g 
PM 01:40:10    9.0783 g 
PM 01:40:11    9.0783 g 
PM 01:40:11    9.0783 g 
PM 01:40:12    9.0783 g 
PM 01:40:13    9.0783 g 
PM 01:40:13    9.0783 g 
PM 01:40:14    9.0783 g 
PM 01:40:15    9.0783 g 
PM 01:40:15    9.0783 g 
PM 01:40:16    9.0783 g 
PM 01:40:17    9.0783 g 
PM 01:40:17    9.0782 g 
PM 01:40:18    9.0782 g 
PM 01:40:19    9.0782 g 
PM 01:40:19    9.0782 g 
PM 01:40:20    9.0781 g 
PM 01:40:20    9.0781 g 
PM 01:40:21    9.0781 g 
PM 01:40:22    9.0781 g 
PM 01:40:22    9.0781 g 
PM 01:40:23    9.0781 g 
PM 01:40:24    9.0781 g 
PM 01:40:24    9.0781 g 
PM 01:40:25    9.0781 g 
PM 01:40:26    9.0781 g 
PM 01:40:26    9.0781 g 
PM 01:40:27    9.0780 g 
PM 01:40:27    9.0780 g 
PM 01:40:28    9.0780 g 
PM 01:40:29    9.0780 g 
PM 01:40:29    9.0780 g 
PM 01:40:30    9.0779 g 
PM 01:40:31    9.0778 g 
PM 01:40:31    9.0774 g 
PM 01:40:32    9.0774 g 
PM 01:40:33    9.0774 g 
PM 01:40:33    9.0774 g 
PM 01:40:34    9.0774 g 
PM 01:40:35    9.0774 g 
PM 01:40:35    9.0774 g 
PM 01:40:36    9.0774 g 
PM 01:40:36    9.0774 g 
PM 01:40:37    9.0774 g 
PM 01:40:38    9.0774 g 
PM 01:40:38    9.0774 g 
PM 01:40:39    9.0774 g 
PM 01:40:40    9.0774 g 
PM 01:40:40    9.0774 g 
PM 01:40:41    9.0774 g 
PM 01:40:42    9.0774 g 
PM 01:40:42    9.0774 g 
PM 01:40:43    9.0774 g 
PM 01:40:43    9.0774 g 
PM 01:40:44    9.0774 g 
PM 01:40:45    9.0774 g 
PM 01:40:45    9.0773 g 
PM 01:40:46    9.0773 g 
PM 01:40:47    9.0773 g 
PM 01:40:47    9.0773 g 
PM 01:40:48    9.0773 g 
PM 01:40:49    9.0773 g 
PM 01:40:49    9.0772 g 
